File,UR,Test Time
O:\Transducers\Uniformity Scan Data\High Resolution Uniformity\xdcr_DM3447_9580.4_21Apr2021155056.mat,0.7503094977098648,2021-04-21 15:50:56
O:\Transducers\Uniformity Scan Data\High Resolution Uniformity\xdcr_DM3447_9580.5_21Apr2021155351.mat,0.7704148900090548,2021-04-21 15:53:51
O:\Transducers\Uniformity Scan Data\High Resolution Uniformity\xdcr_DM3447_9580.6_21Apr2021155603.mat,0.7507359220234743,2021-04-21 15:56:03
O:\Transducers\Uniformity Scan Data\High Resolution Uniformity\xdcr_DM3447_9580ee_20Apr2021152334.mat,0.755462888091926,2021-04-20 15:23:34
O:\Transducers\Uniformity Scan Data\High Resolution Uniformity\xdcr_DM3447_9587-1.27_27Apr2021165130.mat,0.73184471648438,2021-04-27 16:51:30
O:\Transducers\Uniformity Scan Data\High Resolution Uniformity\xdcr_DM3447_9587.27_27Apr2021131712.mat,0.740275679821586,2021-04-27 13:17:12
O:\Transducers\Uniformity Scan Data\High Resolution Uniformity\xdcr_DM3662_014459_01Nov2021140510.mat,0.784165934908825,2021-11-01 14:05:10
O:\Transducers\Uniformity Scan Data\High Resolution Uniformity\xdcr_DM3671_014649_23Nov2021130222.mat,0.5006958047822272,2021-11-23 13:02:22
O:\Transducers\Uniformity Scan Data\High Resolution Uniformity\xdcr_DM3671_014666_23Nov2021144716.mat,0.760179254571561,2021-11-23 14:47:16
O:\Transducers\Uniformity Scan Data\High Resolution Uniformity\xdcr_DM3689_015054_12Jan2022105433.mat,0.592847667525678,2022-01-12 10:54:33
O:\Transducers\Uniformity Scan Data\High Resolution Uniformity\xdcr_DM3689_015080_13Jan2022074014.mat,0.9027218195843614,2022-01-13 07:40:14
O:\Transducers\Uniformity Scan Data\High Resolution Uniformity\xdcr_DM3689_015136_14Jan2022075833.mat,0.778858373724675,2022-01-14 07:58:33
O:\Transducers\Uniformity Scan Data\High Resolution Uniformity\xdcr_DM3696_015233_10Feb2022120125.mat,0.6039694172788942,2022-02-10 12:01:25
O:\Transducers\Uniformity Scan Data\High Resolution Uniformity\xdcr_DM3696_015299_15Feb2022090829.mat,0.24559305691058264,2022-02-15 09:08:29
O:\Transducers\Uniformity Scan Data\High Resolution Uniformity\xdcr_DM3733_016643_02Aug2022091213.mat,0.8699788083857092,2022-08-02 09:12:13
O:\Transducers\Uniformity Scan Data\High Resolution Uniformity\xdcr_DM3733_016650_02Aug2022094833.mat,0.796685019100236,2022-08-02 09:48:33
O:\Transducers\Uniformity Scan Data\High Resolution Uniformity\xdcr_DM3733_016674_02Aug2022130104.mat,0.7713137951522994,2022-08-02 13:01:04
O:\Transducers\Uniformity Scan Data\High Resolution Uniformity\xdcr_DM3733_016689_03Aug2022064502.mat,0.7599350047549152,2022-08-03 06:45:02
O:\Transducers\Uniformity Scan Data\High Resolution Uniformity\xdcr_DM3736_015661_03May2022102532.mat,0.5107765445935425,2022-05-03 10:25:32
O:\Transducers\Uniformity Scan Data\High Resolution Uniformity\xdcr_DM3736_015682_03May2022130401.mat,0.7710546983610809,2022-05-03 13:04:01
O:\Transducers\Uniformity Scan Data\High Resolution Uniformity\xdcr_DM3736_015688_03May2022133122.mat,0.791458611017897,2022-05-03 13:31:22
O:\Transducers\Uniformity Scan Data\High Resolution Uniformity\xdcr_DM3738_015698_10May2022065931.mat,0.7803531459063684,2022-05-10 06:59:31
O:\Transducers\Uniformity Scan Data\High Resolution Uniformity\xdcr_DM3738_015699_10May2022070332.mat,0.7675779820031468,2022-05-10 07:03:32
O:\Transducers\Uniformity Scan Data\High Resolution Uniformity\xdcr_DM3738_015725-R_26May2022103805.mat,0.7977961000560398,2022-05-26 10:38:05
O:\Transducers\Uniformity Scan Data\High Resolution Uniformity\xdcr_DM3738_015725_10May2022101208.mat,0.7743843501949079,2022-05-10 10:12:08
O:\Transducers\Uniformity Scan Data\High Resolution Uniformity\xdcr_DM3738_015742_10May2022115613.mat,0.8227485826949451,2022-05-10 11:56:13
O:\Transducers\Uniformity Scan Data\High Resolution Uniformity\xdcr_DM3738_015744-R_26May2022121826.mat,0.6533740136669816,2022-05-26 12:18:26
O:\Transducers\Uniformity Scan Data\High Resolution Uniformity\xdcr_DM3738_015744_10May2022131107.mat,0.6681445719250293,2022-05-10 13:11:07
O:\Transducers\Uniformity Scan Data\High Resolution Uniformity\xdcr_DM3738_015749-R_26May2022123727.mat,0.7425301587725333,2022-05-26 12:37:27
O:\Transducers\Uniformity Scan Data\High Resolution Uniformity\xdcr_DM3738_015753_26May2022130309.mat,0.7520122693153947,2022-05-26 13:03:09
O:\Transducers\Uniformity Scan Data\High Resolution Uniformity\xdcr_DM3742_015784-RL_28Jun2022161934.mat,0.753275580750754,2022-06-28 16:19:34
O:\Transducers\Uniformity Scan Data\High Resolution Uniformity\xdcr_DM3742_015789_20Jun2022081704.mat,0.7638432756844673,2022-06-20 08:17:04
O:\Transducers\Uniformity Scan Data\High Resolution Uniformity\xdcr_DM3742_15784-R2_28Jun2022160854.mat,0.7363528833472749,2022-06-28 16:08:54
O:\Transducers\Uniformity Scan Data\High Resolution Uniformity\xdcr_DM3774_016931_29Nov2023164555.mat,0.5218629950981123,2023-11-29 16:45:55
O:\Transducers\Uniformity Scan Data\High Resolution Uniformity\xdcr_DM3774_016931_29Nov2023164943.mat,0.5153465458186486,2023-11-29 16:49:43
O:\Transducers\Uniformity Scan Data\High Resolution Uniformity\xdcr_DM3808_017285_14Oct2022125143.mat,0.6323021023100672,2022-10-14 12:51:43
O:\Transducers\Uniformity Scan Data\High Resolution Uniformity\xdcr_DM3827_017446_31Oct2022102641.mat,0.789793702687131,2022-10-31 10:26:41
O:\Transducers\Uniformity Scan Data\High Resolution Uniformity\xdcr_DM3866_018146_17Jan2023081615.mat,0.7622080008006004,2023-01-17 08:16:15
